feature,importance
P,0.13760254991614385
Fe,0.13652978653820294
proc_pca_1,0.11955768369725274
Mn,0.043763953477952054
Mo,0.040741106262811036
C,0.03715308011737477
Co,0.032819800429100654
proc_pca_8,0.03171753977057954
proc_pca_21,0.019995618297172266
proc_pca_2,0.019944316154430715
Ni,0.018432615643063893
proc_pca_4,0.018005102660379715
Ti,0.01617818678208917
route__Machined,0.0134659598314275
proc_pca_26,0.013388330332511491
proc_pca_10,0.012684243498195557
proc_pca_18,0.012276422947681137
route__Oil_Quenched,0.011778266800040486
Si,0.01142936626141607
proc_pca_12,0.010584207257668996
proc_pca_32,0.009554759950477705
proc_pca_19,0.008031502565698121
proc_pca_6,0.0074476041200980175
proc_pca_13,0.007016819272788197
proc_pca_45,0.007014514509689244
proc_pca_35,0.006506234165652626
proc_pca_3,0.006393750236016419
proc_pca_5,0.006253358481567672
proc_pca_20,0.006101064451588537
proc_pca_17,0.005948500993506738
proc_pca_9,0.005892905179273336
proc_pca_23,0.005796896527531656
proc_pca_47,0.005610004307101901
proc_pca_11,0.005581783894752659
Al,0.005423021402241166
proc_pca_15,0.005233035214649814
B,0.005208054839804567
proc_pca_22,0.0051543924332642255
Cr,0.005066684653756398
proc_pca_30,0.005064719152433085
proc_pca_16,0.004878637034478988
proc_pca_27,0.0048728009665124404
proc_pca_48,0.00486790380461864
proc_pca_39,0.004649336959096825
proc_pca_31,0.004579356138535166
proc_pca_29,0.004492332693977886
proc_pca_36,0.004309996374687297
proc_pca_7,0.004184041458146188
proc_pca_34,0.004002391250148271
proc_pca_49,0.0039674505743580646
proc_pca_44,0.003954317353087162
proc_pca_37,0.0039089898649418385
proc_pca_40,0.003709400419342595
proc_pca_46,0.0035084739868399494
proc_pca_38,0.003493445167306576
proc_pca_28,0.00344212840650213
proc_pca_14,0.003229128339542788
proc_pca_24,0.0031106175719725526
proc_pca_43,0.0031069281286270705
proc_pca_42,0.003041221433396012
cl_0,0.0030166020984066138
proc_pca_41,0.002959000418978457
proc_pca_50,0.0028911590513856582
route__Quenched,0.0028729692877513748
proc_pca_25,0.002857280797654215
proc_pca_33,0.002303564959824558
S,0.0022436638319303925
cl_7,0.0020793612961805823
form_None,0.0019498998283471497
tag_Easy to machine,0.001740786887238429
cl_1,0.0016898851141165122
route__Cold_Drawn,0.0011479305478374632
tag_General purpose,0.0010492163612142301
route__Normalized,0.0010219028259989254
route__Annealed,0.0009962060341493037
cl_11,0.0009666711505522895
V,0.0008843913651886175
route__Carburized,0.0008777567225787312
tag_Wear-resistant surface,0.0008039672732132344
cl_6,0.0005726271380281936
tag_High-strength structural,0.00037702745929275367
cl_2,0.0002941371675477442
cl_8,0.00029323553558905003
route__Air_Cooled,0.0002597936314341044
form_Plate,0.0002503693507053131
Cu,0.0002474111914219572
form_Round Bar,0.00021224427855620886
route__Tempered,0.0001792361659192455
route__Quenched_and_Tempered,0.00017769250887102384
cl_5,0.0001744593945836129
Nb,0.00017420052360903087
route__Water_Quenched,0.00015694816987418445
cl_4,0.00014933367622047643
tag_Precision stock,0.00013025883046944588
cl_3,0.00011679381459047482
cl_10,7.56040329862557e-05
Zr,5.071413681049718e-05
cl_9,4.979726523134661e-05
N,1.9195335865995462e-05
route__Hot_Rolled,1.2872971287918609e-05
tag_General structural,1.174713125468743e-05
form_Bar,4.509969881061938e-06
form_Sheet,9.335139176513508e-07
route__Polymer_Quenched,0.0
route__Nitrided,0.0
